episode,reward,length,epsilon
1,-71.47848148937112,114,0.049975000000000006
2,-149.83945421191112,107,0.04995001250000001
3,-126.53683642410252,89,0.04992503749375001
4,4.5753122300411775,137,0.049900074975003136
5,-110.53032317142369,123,0.049875124937515634
6,-242.72188000201663,106,0.04985018737504688
7,-153.34246093420296,84,0.04982526228135936
8,-111.36506497891699,70,0.049800349650218685
9,-277.7983528659021,92,0.04977544947539358
10,-214.26316367563197,100,0.04975056175065588
11,19.353842412716077,83,0.04972568646978056
12,-342.1838896791129,84,0.049700823626545675
13,-225.0206416706919,73,0.049675973214732404
14,-318.23859631894015,106,0.04965113522812504
15,-105.57094004401158,125,0.04962630966051098
16,-188.42221784948566,113,0.04960149650568073
17,-264.53451479076114,111,0.04957669575742789
18,-351.6654943139365,113,0.04955190740954918
19,-218.306936908405,100,0.049527131455844406
20,-106.74236569832223,62,0.049502367890116486
21,-117.07780665795656,75,0.04947761670617143
22,-115.61848826780648,71,0.04945287789781835
23,-323.0084279157582,88,0.04942815145886944
24,-85.87189000679976,55,0.04940343738314001
25,-156.4720726703498,135,0.04937873566444844
26,-379.740891386698,83,0.049354046296616216
27,-310.3581714307183,110,0.04932936927346791
28,-115.07473255583167,71,0.04930470458883118
29,-235.16513537236008,104,0.04928005223653677
30,-179.76866667438637,87,0.0492554122104185
31,-81.89099715533766,65,0.04923078450431329
32,-80.50363958732572,117,0.04920616911206114
33,-408.0147819420287,77,0.04918156602750511
34,-98.12760025396301,70,0.04915697524449136
35,-203.9386541913862,67,0.04913239675686912
36,-375.0957399043435,114,0.04910783055849069
37,-120.67316091784494,67,0.049083276643211445
38,-223.65788072009042,99,0.049058735004889845
39,-119.09524921104568,65,0.049034205637387404
40,-56.957590952971415,66,0.04900968853456871
41,-110.930686856507,95,0.04898518369030143
42,-81.85570506648835,107,0.04896069109845628
43,-116.58606052412226,79,0.04893621075290705
44,-304.6484623431299,106,0.0489117426475306
45,-113.19561040743118,103,0.04888728677620684
46,-92.4068520206106,65,0.04886284313281874
47,-485.5492646768011,147,0.04883841171125233
48,-85.00254512082326,90,0.04881399250539671
49,-102.49822404674343,111,0.048789585509144015
50,-101.48823087323186,85,0.04876519071638945
51,-115.53928883448926,121,0.04874080812103126
52,-219.50850529290847,61,0.04871643771697075
53,-212.41196539713928,120,0.048692079498112266
54,-191.4463502648228,65,0.04866773345836321
55,-244.80817769298315,76,0.04864339959163404
56,-201.66665702018338,72,0.048619077891838225
57,-304.4325881721465,95,0.04859476835289231
58,-196.10873514448252,81,0.04857047096871587
59,-313.3913309880956,91,0.048546185733231516
60,-122.65973184853732,146,0.0485219126403649
61,-145.81475864172376,128,0.04849765168404472
62,-265.9571825255334,81,0.0484734028582027
63,-162.23052924881836,87,0.0484491661567736
64,-138.0388454560134,75,0.048424941573695215
65,-274.9905699556613,106,0.04840072910290837
66,-134.29163345921677,106,0.04837652873835692
67,-174.15590317997317,115,0.048352340473987745
68,-153.98159671568948,93,0.048328164303750754
69,-170.69502778707147,113,0.04830400022159888
70,-91.66098885522052,71,0.04827984822148808
71,-271.3321761036722,98,0.04825570829737734
72,-126.59325673030357,115,0.04823158044322865
73,-104.29676514829224,115,0.04820746465300704
74,-129.63505546303884,133,0.04818336092068054
75,-179.67479264263218,72,0.0481592692402202
76,-81.02642688786361,81,0.04813518960560009
77,-87.61555625665423,81,0.04811112201079729
78,-148.93012100511675,125,0.048087066449791896
79,-172.34205656123459,67,0.048063022916567
80,-88.96081196544907,98,0.04803899140510872
81,-122.76638265142672,132,0.04801497190940617
82,-80.91027485641919,59,0.04799096442345147
83,-106.74168181846763,97,0.04796696894123975
84,-166.20205008392838,94,0.04794298545676914
85,-146.76586171343192,111,0.04791901396404075
86,-124.65852452196953,84,0.04789505445705874
87,-114.05570544665873,70,0.04787110692983021
88,-121.67722733186295,96,0.047847171376365294
89,-105.83851262418189,81,0.04782324779067711
90,-51.07000684963642,126,0.04779933616678178
91,-128.17173173431522,79,0.04777543649869839
92,-58.097789807389304,112,0.047751548780449043
93,-92.90394344160688,102,0.04772767300605882
94,-80.21324567930436,73,0.04770380916955579
95,-185.0951819457104,108,0.04767995726497102
96,-158.41438576715433,81,0.047656117286338534
97,-82.74719975064238,126,0.04763228922769537
98,-122.85268262966139,91,0.047608473083081526
99,-59.675103038460165,96,0.04758466884653999
100,-246.99244061391045,111,0.04756087651211672
101,-65.7338575367138,84,0.04753709607386066
102,-112.36362015195152,90,0.04751332752582373
103,-220.55746772491386,136,0.04748957086206082
104,-125.90473594047586,109,0.047465826076629795
105,-59.48789500973662,91,0.047442093163591485
106,-112.3491646071199,74,0.047418372117009694
107,-107.34476523860859,64,0.04739466293095119
108,-42.832490657083554,86,0.04737096559948571
109,-155.41839471564515,103,0.04734728011668597
110,-103.67200183683133,102,0.04732360647662763
111,-310.2107852574834,90,0.04729994467338932
112,-179.94988870199455,118,0.04727629470105263
113,-105.06503319508143,71,0.0472526565537021
114,-175.55389639980638,110,0.04722903022542525
115,-109.28641176454286,107,0.047205415710312545
116,-421.15022187807585,94,0.04718181300245739
117,-260.48089898594014,99,0.047158222095956166
118,-104.98203066323093,116,0.047134642984908194
119,-77.6868397579886,110,0.04711107566341574
120,-89.1825433991675,101,0.04708752012558404
121,-127.6923752113037,91,0.047063976365521246
122,-65.28126181565474,93,0.04704044437733849
123,-73.28061342770779,78,0.04701692415514982
124,-108.85860404530425,85,0.04699341569307225
125,-100.22136623999927,130,0.04696991898522571
126,-141.60186878984746,92,0.046946434025733105
127,-177.97127105922718,94,0.04692296080872024
128,-118.565442326869,102,0.046899499328315886
129,-303.96922398330605,102,0.046876049578651734
130,-405.1176465841474,111,0.04685261155386241
131,26.895785006218105,104,0.04682918524808548
132,-77.74284903986808,121,0.04680577065546144
133,-116.72703521439215,119,0.04678236777013371
134,-131.9213618708836,72,0.04675897658624865
135,-158.25079415716056,142,0.04673559709795552
136,-172.42718499682832,112,0.04671222929940655
137,-139.49334452632206,91,0.04668887318475685
138,-118.38907590842423,104,0.04666552874816447
139,-429.03940569551975,109,0.046642195983790394
140,-105.54627981867225,74,0.0466188748857985
141,-347.3616986950374,99,0.04659556544835561
142,-215.64752131274216,112,0.04657226766563143
143,-262.8047490829209,116,0.04654898153179862
144,-64.93219434396698,79,0.046525707041032725
145,-171.42167487773202,114,0.04650244418751221
146,-133.25310110652055,89,0.046479192965418456
147,48.52049036982683,80,0.04645595336893575
148,-304.57355331338897,82,0.04643272539225129
149,-171.41078537566236,100,0.046409509029555165
150,-75.92458795373939,104,0.04638630427504039
151,-96.56263403513688,140,0.046363111122902874
152,-384.1098672060596,100,0.046339929567341426
153,-126.50289814118307,118,0.04631675960255776
154,-92.51479855399364,92,0.046293601222756484
155,-100.00255082772361,74,0.046270454422145106
156,-188.09247807921696,120,0.046247319194934036
157,-157.2871031932284,127,0.04622419553533657
158,-82.57068100316867,88,0.0462010834375689
159,-119.57388593789697,89,0.04617798289585012
160,-74.51729322598825,105,0.0461548939044022
161,-398.08561294399664,90,0.04613181645745
162,-380.6009313550585,108,0.046108750549221277
163,-134.96930721445773,117,0.046085696173946665
164,-135.4304444683455,117,0.046062653325859695
165,-315.5821791603365,122,0.04603962199919677
166,-80.68366323979727,173,0.04601660218819718
167,-84.74722047741494,92,0.04599359388710308
168,-331.31038169422686,72,0.04597059709015953
169,-326.2656558713843,149,0.04594761179161445
170,-71.5238224513567,79,0.04592463798571864
171,-327.96695733518015,114,0.04590167566672579
172,-206.83908890879633,121,0.04587872482889243
173,-173.37897233541185,76,0.045855785466477984
